4ms
1 | 0 | 3.15674
1 | 1 | 3.44116
1 | 2 | 3.51489
1 | 3 | 3.21313
1 | 4 | 3.19775
1 | 5 | 3.07642
1 | 6 | 3.12793
1 | 7 | 3.33228
1 | 8 | 3.26147
1 | 9 | 3.26831
1 | 10 | 3.17944
1 | 11 | 7.83374
1 | 12 | 3.90967
1 | 13 | 3.45752
1 | 14 | 3.35815
1 | 15 | 3.34351
1 | 16 | 3.52759
1 | 17 | 4.40503
1 | 18 | 3.46899
1 | 19 | 3.57739
1 | 20 | 3.57642
1 | 21 | 3.23364
1 | 22 | 3.32227
1 | 23 | 3.25024
1 | 24 | 3.19189
1 | 25 | 3.26685
1 | 26 | 3.20605
1 | 27 | 3.68994
1 | 28 | 3.32349
1 | 29 | 3.07422
1 | 30 | 4.75391
1 | 31 | 3.35693
1 | 32 | 3.37573
1 | 33 | 3.23706
1 | 34 | 3.13208
1 | 35 | 3.08447
1 | 36 | 3.14624
1 | 37 | 3.28101
1 | 38 | 3.15845
1 | 39 | 3.24829
1 | 40 | 3.46313
1 | 41 | 3.17407
1 | 42 | 3.47559
1 | 43 | 3.16089
1 | 44 | 3.17261
1 | 45 | 3.25537
1 | 46 | 3.35938
1 | 47 | 3.21069
1 | 48 | 3.05493
1 | 49 | 3.2373
10 | 0 | 3.28564
10 | 1 | 3.22729
10 | 2 | 3.27417
10 | 3 | 3.24902
10 | 4 | 3.34961
10 | 5 | 3.23022
10 | 6 | 3.53711
10 | 7 | 3.32617
10 | 8 | 3.28857
10 | 9 | 3.31909
10 | 10 | 3.14185
10 | 11 | 3.04126
10 | 12 | 3.30078
10 | 13 | 3.2146
10 | 14 | 3.24048
10 | 15 | 3.16602
10 | 16 | 3.27954
10 | 17 | 3.41992
10 | 18 | 3.15967
10 | 19 | 3.28467
10 | 20 | 3.27222
10 | 21 | 3.56348
10 | 22 | 3.24414
10 | 23 | 3.23779
10 | 24 | 3.17407
10 | 25 | 3.28027
10 | 26 | 3.42944
10 | 27 | 3.2395
10 | 28 | 3.27686
10 | 29 | 3.32397
10 | 30 | 3.11865
10 | 31 | 3.28467
10 | 32 | 3.81934
10 | 33 | 3.1582
10 | 34 | 3.2478
10 | 35 | 3.21216
10 | 36 | 3.23853
10 | 37 | 3.2251
10 | 38 | 6.72876
10 | 39 | 4.09619
10 | 40 | 3.19336
10 | 41 | 3.31494
10 | 42 | 3.25317
10 | 43 | 3.31787
10 | 44 | 3.19556
10 | 45 | 3.51587
10 | 46 | 3.20361
10 | 47 | 4.1748
10 | 48 | 3.16846
10 | 49 | 4.50732
100 | 0 | 3.08252
100 | 1 | 3.16577
100 | 2 | 3.04028
100 | 3 | 3.31104
100 | 4 | 3.0957
100 | 5 | 3.19458
100 | 6 | 3.24219
100 | 7 | 3.05859
100 | 8 | 3.13403
100 | 9 | 3.32202
100 | 10 | 3.13599
100 | 11 | 3.47681
100 | 12 | 3.30127
100 | 13 | 3.10498
100 | 14 | 3.19312
100 | 15 | 3.13696
100 | 16 | 3.24316
100 | 17 | 3.56104
100 | 18 | 3.28662
100 | 19 | 3.22949
100 | 20 | 3.31641
100 | 21 | 3.06641
100 | 22 | 3.50977
100 | 23 | 4.13208
100 | 24 | 3.25024
100 | 25 | 3.35669
100 | 26 | 3.03052
100 | 27 | 3.06201
